id;gen;sp;ssp;categories;group;en;rec;cnt;loc;lat;lng;alt;type;sex;stage;method;url;file;file-name;sono;osci;lic;q;length;time;date;uploaded;also;rmk;bird-seen;animal-seen;playback-used;temp;regnr;auto;dvc;mic;smp;fullfilename;filename
626171;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Calum Mckellar;United Kingdom;Great Britain (near  Water End), Hertfordshire, England;51.7835;-0.5;100;song;male;adult;field recording;//xeno-canto.org/626171;https://xeno-canto.org/626171/download;XC626171-Chaffinch 04-03-21.mp3;{'small': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/ffts/XC626171-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/ffts/XC626171-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/ffts/XC626171-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/ffts/XC626171-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/wave/XC626171-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/wave/XC626171-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YNSNJEQGDT/wave/XC626171-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;00:27;08:37;2021-03-04;2021-03-04;[];;yes;yes;no;;;no;;;44100;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC626171.mp3;XC626171.mp3
715875;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Bodo Sonnenburg;Germany;Oder-Spree (near  Tauche), Brandenburg;52.1633;14.0829;60;song;;;field recording;//xeno-canto.org/715875;https://xeno-canto.org/715875/download;XC715875-buchf0726.mp3;{'small': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC715875-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC715875-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC715875-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC715875-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/wave/XC715875-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/wave/XC715875-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QAJPWEPSTL/wave/XC715875-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;00:53;07:26;2022-04-16;2022-04-16;['Turdus viscivorus', 'Turdus philomelos', 'Phylloscopus collybita'];;yes;yes;no;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC715875.mp3;XC715875.mp3
319852;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Jerome Fischer;Finland;Vitsiälä, Hauho;61.188;24.5131;80;song;;;field recording;//xeno-canto.org/319852;https://xeno-canto.org/319852/download;XC319852-Chaffinch, 26.05., song.mp3;{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC319852-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC319852-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC319852-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/XC319852-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC319852-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC319852-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC319852-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;00:50;08:00;2016-05-26;2016-06-03;[];;yes;yes;no;;;no;;;44100;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC319852.mp3;XC319852.mp3
790655;Fringilla;coelebs;moreletti;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Carlos Pereira;Portugal;Lagoa do Landroal;38.4595;-28.2675;800;song;male;adult;field recording;//xeno-canto.org/790655;https://xeno-canto.org/790655/download;XC790655-Fricoetop2_Lagoa-do-Landroal.wav;{'small': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/ffts/XC790655-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/ffts/XC790655-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/ffts/XC790655-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/ffts/XC790655-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/wave/XC790655-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/wave/XC790655-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JXZPZYPQKP/wave/XC790655-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;00:39;10:14;2023-04-03;2023-04-03;[];;no;no;no;;;yes;;;44100;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC790655.mp3;XC790655.mp3
35601;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Arnold Meijer;Netherlands;Ganzenhoek, Meijendel, Zuid-Holland;52.1595;4.3595;0;song;;;field recording;//xeno-canto.org/35601;https://xeno-canto.org/35601/download;BLUEROBIN_Vink_Ganzenhoek_Wassenaar_ArnoldMeijer_210309_LS100547.mp3;{'small': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/XC35601-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/XC35601-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/XC35601-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/XC35601-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/wave/XC35601-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/wave/XC35601-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXOKEACNUT/wave/XC35601-large.png'};//creativecommons.org/licenses/by-nc-nd/2.5/;A;00:31;?:?;2009-03-21;2009-06-11;['Luscinia megarhynchos'];link:http://www.bluerobin.nl;unknown;unknown;unknown;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC35601.mp3;XC35601.mp3
512401;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Romuald Mikusek;Poland;Stolowe Mts. NP, kłodzki, Województwo dolnośląskie;50.4554;16.3957;750;song;male;;field recording;//xeno-canto.org/512401;https://xeno-canto.org/512401/download;XC512401-190531_1046_F.coelebs_nietypowa.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC512401-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC512401-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC512401-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC512401-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC512401-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC512401-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC512401-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;00:59;9:20;2019-05-31;2019-12-18;['Regulus ignicapilla', 'Phylloscopus collybita', 'Anthus trivialis'];not typical song for this area;yes;yes;no;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC512401.mp3;XC512401.mp3
762230;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Romuald Mikusek;Poland;Stolowe Mts. NP, Kudowa-Zdrój, kłodzki, Województwo dolnośląskie;50.4674;16.3757;750;song;uncertain;;field recording;//xeno-canto.org/762230;https://xeno-canto.org/762230/download;XC762230-S4A10708_20190516_9.30_F.coel-śp.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC762230-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC762230-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC762230-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC762230-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC762230-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC762230-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLMSIUFTFU/wave/XC762230-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;00:40;09:30;2019-05-16;2022-11-21;['Regulus regulus', 'Turdus merula', 'Prunella modularis', 'Phylloscopus collybita'];spruce forest near the stream;no;no;no;;;yes;SM4;;24000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC762230.mp3;XC762230.mp3
133371;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Fernand DEROUSSEN;France;Lesches-en-Diois, Drome, Rhone-Alpes;44.5861;5.543;950;song;;;field recording;//xeno-canto.org/133371;https://xeno-canto.org/133371/download;XC133371-2013051104_Fringilla coelebs_Lesches_mono_F DEROUSSEN.mp3;{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC133371-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC133371-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC133371-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC133371-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC133371-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC133371-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC133371-large.png'};//creativecommons.org/licenses/by-nc-nd/3.0/;A;00:56;07:00;2013-05-11;2013-05-12;[];;yes;yes;no;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC133371.mp3;XC133371.mp3
236448;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;Terje Kolaas;Norway;Levanger, Nord-Trøndelag;;;10;song;;;field recording;//xeno-canto.org/236448;https://xeno-canto.org/236448/download;XC236448-bokfink-0414_072112.mp3;{'small': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/ffts/XC236448-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/ffts/XC236448-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/ffts/XC236448-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/ffts/XC236448-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/wave/XC236448-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/wave/XC236448-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CIMGCGUWCS/wave/XC236448-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;00:48;06:30;2015-04-14;2015-04-18;[];;yes;yes;no;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC236448.mp3;XC236448.mp3
177397;Fringilla;coelebs;;Fringilla coelebs_Common Chaffinch;birds;Common Chaffinch;david m;United Kingdom;Ryedale (near  West Lutton), North Yorkshire, England;54.125;-0.5742;100;call, song;male;;field recording;//xeno-canto.org/177397;https://xeno-canto.org/177397/download;XC177397-T05.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177397-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177397-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177397-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177397-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC177397-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC177397-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC177397-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;00:42;06:45;2014-03-14;2014-05-06;[];Chaffinch song and calls ... not filtered ... parabolic ... windy ...;yes;yes;no;;;no;;;48000;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Fringilla coelebs_Common Chaffinch/XC177397.mp3;XC177397.mp3
